rounds	row	columns	wordsize	kolumns	block	key	full-diffusion
8	2	2	3	2	12	12	4
9	2	2	3	3	12	18	4
10	2	2	3	4	12	24	4
11	2	2	3	5	12	30	4
12	2	2	3	6	12	36	4
13	2	2	3	7	12	42	4
14	2	2	3	8	12	48	4
15	2	2	3	9	12	54	4
16	2	2	3	10	12	60	4
17	2	2	3	11	12	66	4
18	2	2	3	12	12	72	4
19	2	2	3	13	12	78	4
20	2	2	3	14	12	84	4
21	2	2	3	15	12	90	4
22	2	2	3	16	12	96	4
8	2	2	4	2	16	16	4
9	2	2	4	3	16	24	4
10	2	2	4	4	16	32	4
11	2	2	4	5	16	40	4
12	2	2	4	6	16	48	4
13	2	2	4	7	16	56	4
14	2	2	4	8	16	64	4
15	2	2	4	9	16	72	4
16	2	2	4	10	16	80	4
17	2	2	4	11	16	88	4
18	2	2	4	12	16	96	4
19	2	2	4	13	16	104	4
20	2	2	4	14	16	112	4
21	2	2	4	15	16	120	4
22	2	2	4	16	16	128	4
8	2	2	5	2	20	20	4
9	2	2	5	3	20	30	12
10	2	2	5	4	20	40	10
11	2	2	5	5	20	50	6
12	2	2	5	6	20	60	6
13	2	2	5	7	20	70	6
14	2	2	5	8	20	80	6
15	2	2	5	9	20	90	6
16	2	2	5	10	20	100	6
17	2	2	5	11	20	110	6
18	2	2	5	12	20	120	6
19	2	2	5	13	20	130	6
20	2	2	5	14	20	140	6
21	2	2	5	15	20	150	6
22	2	2	5	16	20	160	6
8	2	2	6	2	24	24	4
9	2	2	6	3	24	36	6
10	2	2	6	4	24	48	6
11	2	2	6	5	24	60	6
12	2	2	6	6	24	72	8
13	2	2	6	7	24	84	8
14	2	2	6	8	24	96	10
15	2	2	6	9	24	108	16
16	2	2	6	10	24	120	16
17	2	2	6	11	24	132	12
18	2	2	6	12	24	144	12
19	2	2	6	13	24	156	12
20	2	2	6	14	24	168	12
21	2	2	6	15	24	180	12
22	2	2	6	16	24	192	12
8	2	2	7	2	28	28	6
9	2	2	7	3	28	42	4
10	2	2	7	4	28	56	4
11	2	2	7	5	28	70	4
12	2	2	7	6	28	84	4
13	2	2	7	7	28	98	4
14	2	2	7	8	28	112	4
15	2	2	7	9	28	126	4
16	2	2	7	10	28	140	4
17	2	2	7	11	28	154	4
18	2	2	7	12	28	168	4
19	2	2	7	13	28	182	4
20	2	2	7	14	28	196	4
21	2	2	7	15	28	210	4
22	2	2	7	16	28	224	4
8	2	2	8	2	32	32	4
9	2	2	8	3	32	48	4
10	2	2	8	4	32	64	4
11	2	2	8	5	32	80	4
12	2	2	8	6	32	96	4
13	2	2	8	7	32	112	4
14	2	2	8	8	32	128	4
15	2	2	8	9	32	144	4
16	2	2	8	10	32	160	4
17	2	2	8	11	32	176	4
18	2	2	8	12	32	192	4
19	2	2	8	13	32	208	4
20	2	2	8	14	32	224	4
21	2	2	8	15	32	240	4
22	2	2	8	16	32	256	4
8	2	2	9	2	36	36	4
9	2	2	9	3	36	54	4
10	2	2	9	4	36	72	4
11	2	2	9	5	36	90	4
12	2	2	9	6	36	108	4
13	2	2	9	7	36	126	4
14	2	2	9	8	36	144	4
15	2	2	9	9	36	162	4
16	2	2	9	10	36	180	4
17	2	2	9	11	36	198	4
18	2	2	9	12	36	216	4
19	2	2	9	13	36	234	4
20	2	2	9	14	36	252	4
21	2	2	9	15	36	270	4
22	2	2	9	16	36	288	4
8	2	2	10	2	40	40	6
9	2	2	10	3	40	60	4
10	2	2	10	4	40	80	4
11	2	2	10	5	40	100	4
