rounds	row	columns	wordsize	kolumns	block	key	samples	encrMean	encrStd	encrMin	encrMax	decrMean	decrStd	decrMin	decrMax
8	2	2	3	2	12	12	4	26075	2.729599e+03	22395	29421	64911	3.033177e+03	60576	68166
9	2	2	3	3	12	18	4	34839	3.686912e+03	28776	38028	81428	2.016546e+03	79212	84294
10	2	2	3	4	12	24	4	41367	3.568619e+03	35589	45078	94816	4.891516e+03	87288	99954
11	2	2	3	5	12	30	4	48172	3.747696e+03	44874	54054	105571	3.617526e+03	102879	111711
12	2	2	3	6	12	36	4	58890	2.127275e+03	56796	62376	131887	2.115328e+03	128598	133761
13	2	2	3	7	12	42	4	67581	3.676098e+03	61215	69816	149385	6.413068e+03	141732	156948
14	2	2	3	8	12	48	4	75023	2.015133e+03	71766	77157	169610	9.676221e+03	153672	178341
15	2	2	3	9	12	54	4	80366	1.645407e+03	77808	82395	176760	8.925201e+03	162144	186345
16	2	2	3	10	12	60	4	86052	2.924436e+03	81138	88458	197322	5.762676e+03	188760	204558
17	2	2	3	11	12	66	4	97593	3.659743e+03	93072	103194	220761	1.632769e+04	202002	238983
18	2	2	3	12	12	72	4	110684	4.277758e+03	105339	115479	252024	1.015127e+04	241875	264927
19	2	2	3	13	12	78	4	123261	5.779550e+03	117483	130836	277689	1.031387e+04	263373	287889
20	2	2	3	14	12	84	4	128043	1.075845e+04	118461	145761	289208	1.268866e+04	277986	310764
21	2	2	3	15	12	90	4	149319	1.167876e+04	132318	162555	332067	1.521283e+04	317334	357375
22	2	2	3	16	12	96	4	165276	4.731448e+03	158547	170931	364094	1.757993e+04	335931	380004
8	2	2	4	2	16	16	4	45417	4.023234e+03	39212	50180	108337	6.288117e+03	99268	116744
9	2	2	4	3	16	24	4	59107	3.943146e+03	52436	62156	139605	2.617509e+03	135224	142136
10	2	2	4	4	16	32	4	70040	2.275629e+03	66444	72760	160284	3.596843e+03	154308	163412
11	2	2	4	5	16	40	4	79988	5.021804e+03	72520	86664	190559	4.689777e+03	184604	196452
12	2	2	4	6	16	48	4	96724	3.685302e+03	90560	99804	219402	1.081271e+04	202624	231348
13	2	2	4	7	16	56	4	113741	3.846452e+03	108804	118648	259098	5.339298e+03	251788	265648
14	2	2	4	8	16	64	4	131863	1.453141e+03	130352	133912	292052	2.420884e+03	288544	295300
15	2	2	4	9	16	72	4	144596	4.137712e+03	137912	149016	325681	5.801715e+03	316520	332100
16	2	2	4	10	16	80	4	158191	5.097462e+03	149368	161412	357227	6.562797e+03	349648	366948
17	2	2	4	11	16	88	4	187597	3.436226e+03	182604	192284	411601	7.554796e+03	398820	417736
18	2	2	4	12	16	96	4	200536	4.916286e+03	193908	207584	437907	1.427986e+04	417620	453112
19	2	2	4	13	16	104	4	216033	1.596201e+04	190056	233004	483477	2.017542e+04	454180	502244
20	2	2	4	14	16	112	4	246897	8.169994e+03	233060	252968	538275	1.606452e+04	519856	563980
21	2	2	4	15	16	120	4	269691	7.700788e+03	258292	277876	587734	1.042152e+04	576880	604128
22	2	2	4	16	16	128	4	292476	1.034542e+04	282896	308004	644547	1.104765e+04	630820	661448
8	2	2	5	2	20	20	4	73128	2.781558e+03	69535	75965	172993	3.191734e+03	168615	176330
9	2	2	5	3	20	30	4	88286	6.206116e+03	77605	92985	208811	6.123296e+03	198850	214855
10	2	2	5	4	20	40	4	104092	5.427326e+03	95840	110880	243031	5.690388e+03	235205	248630
